Teams,League,Goals,Shots PG,Possesion %,Pass Success%,Links,Shots On Target PG,Dribbles won PG,Fouled PG,Tackles,Shots Allowed PG,Interceptions PG,Offsides PG,Fouls PG
Bayer Leverkusen,Bundesliga,89,18.2,62.1,88.8,https://www.whoscored.com/Teams/36/Show/Germany-Bayer-Leverkusen,7.1,10.2,10.1,13.5,8.6,6.6,2.1,9
Manchester City,Premier League,96,18.2,65.4,90.5,https://www.whoscored.com/Teams/167/Show/England-Manchester-City,7.3,9.9,10.8,13.6,7.7,6.1,1.1,7.6
Bayern Munich,Bundesliga,94,18.8,61.3,88.9,https://www.whoscored.com/Teams/37/Show/Germany-Bayern-Munich,7.1,14.1,9,15.3,10.4,8.5,1.8,8.9
Real Madrid,LaLiga,87,15.7,59.3,90.1,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,6.6,10.6,13.8,14.7,10.3,7.8,2.1,9.7
Paris Saint-Germain,Ligue 1,81,15.1,65.7,89.7,https://www.whoscored.com/Teams/304/Show/France-Paris-Saint-Germain,5.9,11.8,10.6,17.2,12.1,7.9,1.6,10.4
Arsenal,Premier League,91,17.3,58.4,86.8,https://www.whoscored.com/Teams/13/Show/England-Arsenal,6,7.4,10.4,16.1,8.5,7.7,2.3,10.3
Liverpool,Premier League,86,20.8,61.3,85.8,https://www.whoscored.com/Teams/26/Show/England-Liverpool,7.3,8.7,9.9,17.8,10.9,7.7,2.6,12.2
Inter,Serie A,89,15.6,57.3,87.8,https://www.whoscored.com/Teams/75/Show/Italy-Inter,5.6,5.1,10.7,14.2,10.4,7.4,2,10.7
VfB Stuttgart,Bundesliga,78,15.8,60.4,86.9,https://www.whoscored.com/Teams/41/Show/Germany-VfB-Stuttgart,6.4,9.8,11,15.8,11.1,7.9,1.5,9.7
Barcelona,LaLiga,79,15.7,64.7,88.6,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,6.1,10.1,12.3,15,10.9,6.8,2.6,10.8
Monaco,Ligue 1,68,15.2,54.0,82.7,https://www.whoscored.com/Teams/248/Show/France-Monaco,6.2,8.9,11.8,19.5,11.6,11.6,2.1,14.1
Newcastle,Premier League,85,14.5,52.2,82.7,https://www.whoscored.com/Teams/23/Show/England-Newcastle,5.6,9.3,12.3,17.4,14.1,7.5,1.6,10.2
RB Leipzig,Bundesliga,77,15.7,55.4,84.8,https://www.whoscored.com/Teams/7614/Show/Germany-RB-Leipzig,6.6,9.5,11.4,15.8,11.9,7.1,2,10.4
Brest,Ligue 1,53,14.3,54.0,81.9,https://www.whoscored.com/Teams/2332/Show/France-Brest,5.1,9.6,12.4,20,10.4,9.4,1,12.2
Girona,LaLiga,85,12.7,57.1,87.9,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,5.1,9.3,12.4,14.3,13.4,6.8,2.5,10.7
Chelsea,Premier League,77,14.4,59.0,87.5,https://www.whoscored.com/Teams/15/Show/England-Chelsea,5.7,10.5,11.9,17.4,14.6,7.8,2.2,11.7
Borussia Dortmund,Bundesliga,68,15.1,58.1,85.5,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,5.6,9.4,11.5,16.1,14,7.4,1.3,9.3
Atalanta,Serie A,72,14.3,51.1,82.1,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,5.4,7.5,9.7,16.1,11.9,8.9,1.7,12.8
Lille,Ligue 1,52,13,57.1,86.0,https://www.whoscored.com/Teams/607/Show/France-Lille,5,9.9,14.4,17.5,9.7,8.6,1.4,11.1
Tottenham,Premier League,74,15.4,62.0,87.4,https://www.whoscored.com/Teams/30/Show/England-Tottenham,5.7,9.4,13.4,19.1,12.8,9.3,2.2,11.2
AC Milan,Serie A,76,14.8,56.9,87.0,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,5.6,9.4,10.8,15.2,13.1,6.6,1.5,11.3
Crystal Palace,Premier League,57,12,41.6,79.2,https://www.whoscored.com/Teams/162/Show/England-Crystal-Palace,4.4,9,11.2,20.7,12.1,8.5,1.9,12
West Ham,Premier League,60,11.8,40.5,79.1,https://www.whoscored.com/Teams/29/Show/England-West-Ham,4.1,9.3,10.3,18,17.2,9.5,1.9,10.3
Atletico Madrid,LaLiga,70,12.7,50.8,84.6,https://www.whoscored.com/Teams/63/Show/Spain-Atletico-Madrid,5.4,7.8,11.8,17.2,11.9,6.7,3.2,11.5
Manchester United,Premier League,57,14.5,50.4,82.7,https://www.whoscored.com/Teams/32/Show/England-Manchester-United,5.1,8.2,8.9,17.8,17.6,8.2,2.4,10.6
Everton,Premier League,40,13.3,40.1,75.6,https://www.whoscored.com/Teams/31/Show/England-Everton,4.3,6.6,9.5,19.6,14.2,9.4,2.3,12
Juventus,Serie A,54,14.1,47.9,83.9,https://www.whoscored.com/Teams/87/Show/Italy-Juventus,4.1,6.8,9.9,15.2,11.6,6.7,1.9,12.6
Marseille,Ligue 1,52,14.1,53.6,84.3,https://www.whoscored.com/Teams/249/Show/France-Marseille,4.6,7.6,12.5,17.8,11,9.8,2,11
Aston Villa,Premier League,76,13.6,52.8,85.6,https://www.whoscored.com/Teams/24/Show/England-Aston-Villa,5,9.1,12.4,14.4,12,6.2,1.2,10.8
Athletic Club,LaLiga,61,12.2,49.4,79.6,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,4.5,8.9,11.3,15.3,10.8,7.3,2.1,13.4
Real Betis,LaLiga,48,12.9,50.1,83.0,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,4.1,10.2,13.1,18.2,11.8,9.1,1.9,11.3
Rennes,Ligue 1,53,14.3,52.1,84.3,https://www.whoscored.com/Teams/313/Show/France-Rennes,5,10.3,12.9,15.5,11.5,9.6,1.1,12.5
Nice,Ligue 1,40,13.5,52.5,86.7,https://www.whoscored.com/Teams/613/Show/France-Nice,4.7,10.9,11,15.8,10.7,8.6,1.5,11.8
Hoffenheim,Bundesliga,66,13.6,49.5,80.9,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,4.9,6.5,10.8,15.2,16.8,10.5,1.5,10
Real Sociedad,LaLiga,51,12.1,55.5,82.0,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,4.1,8.4,11.6,17.1,10.4,6.7,2.4,15.9
Bologna,Serie A,54,12.6,58.2,86.5,https://www.whoscored.com/Teams/71/Show/Italy-Bologna,4.3,7.7,12,16.7,10.8,6.8,1.4,12.1
Roma,Serie A,65,12.5,54.8,85.1,https://www.whoscored.com/Teams/84/Show/Italy-Roma,4.1,5.8,11.3,15,12.7,6.4,1.7,12
Lyon,Ligue 1,49,13,51.7,84.1,https://www.whoscored.com/Teams/228/Show/France-Lyon,5.1,11,10.8,15.8,13.6,8.9,1.5,12.5
Napoli,Serie A,55,17.1,61.2,87.0,https://www.whoscored.com/Teams/276/Show/Italy-Napoli,5.4,8.6,11.9,15,10.4,6.3,1.9,10
Lens,Ligue 1,45,14.5,52.7,83.8,https://www.whoscored.com/Teams/309/Show/France-Lens,5.2,6.6,12.5,16.3,11.6,8.8,2.2,13.1
Montpellier,Ligue 1,43,13.1,44.3,78.9,https://www.whoscored.com/Teams/311/Show/France-Montpellier,4.9,8.6,13.1,18.2,15.9,9.1,1.6,12.7
Sevilla,LaLiga,48,12.9,50.0,81.5,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,4.3,7.7,11.7,18.3,13.2,8.2,2,12.6
Fiorentina,Serie A,61,13.8,57.4,83.4,https://www.whoscored.com/Teams/73/Show/Italy-Fiorentina,4.8,7.3,11.8,14.8,10,6.2,1.5,12.1
Bournemouth,Premier League,54,14.3,44.0,77.1,https://www.whoscored.com/Teams/183/Show/England-Bournemouth,4.9,10.1,9.9,18.2,14.1,9.4,1.5,13.3
Villarreal,LaLiga,65,12.3,49.3,84.2,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,4.5,9.2,12.2,15.2,15.4,8,2.4,12.8
Borussia M.Gladbach,Bundesliga,56,13.4,46.3,81.6,https://www.whoscored.com/Teams/134/Show/Germany-Borussia-M-Gladbach,4.6,7,10.9,17.1,17.1,9.8,1.6,9.9
Wolves,Premier League,50,11.3,48.6,82.4,https://www.whoscored.com/Teams/161/Show/England-Wolves,4.2,10.9,10.7,19.4,15.2,7.5,2.1,12.5
Fulham,Premier League,55,13.2,50.3,82.5,https://www.whoscored.com/Teams/170/Show/England-Fulham,4.7,7.1,9.6,17.9,13.8,9.8,1.3,10.1
Brentford,Premier League,56,12.4,44.9,76.6,https://www.whoscored.com/Teams/189/Show/England-Brentford,4.5,6.4,11,17.8,14.4,9.9,1.8,10.1
Toulouse,Ligue 1,42,11.9,48.2,81.6,https://www.whoscored.com/Teams/246/Show/France-Toulouse,4.1,8.5,13.2,18,13.7,8.6,1.5,14.7
Werder Bremen,Bundesliga,48,12.1,46.8,79.7,https://www.whoscored.com/Teams/42/Show/Germany-Werder-Bremen,3.9,7.4,11.6,17.8,15.7,8.4,2.1,11.6
Reims,Ligue 1,42,12.2,50.2,81.4,https://www.whoscored.com/Teams/950/Show/France-Reims,4,9.7,9.5,18.8,12.9,10.1,2.5,13.1
Freiburg,Bundesliga,45,11.8,46.2,79.1,https://www.whoscored.com/Teams/50/Show/Germany-Freiburg,4.2,6.5,11.1,16.1,15,8,1.5,10.7
Mainz 05,Bundesliga,39,14.1,45.6,74.9,https://www.whoscored.com/Teams/219/Show/Germany-Mainz-05,4.2,7.9,12.1,16.8,12.1,10.2,1.7,13.9
Lazio,Serie A,49,11.6,53.2,85.0,https://www.whoscored.com/Teams/77/Show/Italy-Lazio,3.7,7.2,11.4,15.3,12.8,7.8,1.9,12.4
FC Heidenheim,Bundesliga,50,11.6,41.8,73.5,https://www.whoscored.com/Teams/4852/Show/Germany-FC-Heidenheim,3.5,6.6,9.6,17.7,15.4,8.9,1.1,13
Eintracht Frankfurt,Bundesliga,51,11.9,51.9,81.3,https://www.whoscored.com/Teams/45/Show/Germany-Eintracht-Frankfurt,4.3,8.3,9.4,17.7,12.3,8.9,1.5,10.4
Torino,Serie A,36,11.4,51.6,82.4,https://www.whoscored.com/Teams/72/Show/Italy-Torino,3.2,6.4,11,12.4,11.1,8.7,1.7,12.4
Nottingham Forest,Premier League,49,11.9,40.1,78.7,https://www.whoscored.com/Teams/174/Show/England-Nottingham-Forest,3.9,7.2,9.8,19.2,13.4,8.7,2,11.3
Brighton,Premier League,55,14.8,60.2,89.0,https://www.whoscored.com/Teams/211/Show/England-Brighton,5.5,7.8,11.9,16.9,12.3,7.6,2.2,10.9
Celta Vigo,LaLiga,46,12.4,45.8,80.2,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,4.2,7.8,12.8,16.5,12.6,7.8,1.7,12.2
Genoa,Serie A,45,10.6,43.8,78.3,https://www.whoscored.com/Teams/278/Show/Italy-Genoa,3.4,5.1,10.7,16.4,13.2,8.7,1.2,11.8
Mallorca,LaLiga,33,11,44.5,75.7,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,3.6,6.6,10.8,18.1,12.6,9.6,2.7,14.9
Valencia,LaLiga,40,9.9,43.6,77.0,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,3.5,7.3,12.5,17.3,10.9,8.5,1.8,12.7
Lorient,Ligue 1,43,10.9,45.8,83.5,https://www.whoscored.com/Teams/146/Show/France-Lorient,4.1,10,12.2,15.8,15.6,9.9,1.6,11.9
Augsburg,Bundesliga,50,12.8,43.0,77.0,https://www.whoscored.com/Teams/1730/Show/Germany-Augsburg,3.9,6.9,9.9,15.5,14.9,8.7,2.4,13.4
Luton,Premier League,52,11.4,41.8,76.1,https://www.whoscored.com/Teams/95/Show/England-Luton,3.7,9.3,11.8,17.2,17.4,8.6,1.8,11.7
Strasbourg,Ligue 1,38,10.8,44.3,82.3,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,3.6,9.4,12.1,18.2,12.2,10.2,1,13.6
Le Havre,Ligue 1,34,11.4,44.1,79.3,https://www.whoscored.com/Teams/217/Show/France-Le-Havre,3.6,7.6,10.8,16.5,13.5,10.7,1.5,12.7
Deportivo Alaves,LaLiga,36,12.2,40.7,73.9,https://www.whoscored.com/Teams/60/Show/Spain-Deportivo-Alaves,3.9,8.2,11.8,15.2,11.9,7.3,1.8,12.7
Verona,Serie A,38,11.6,44.2,74.3,https://www.whoscored.com/Teams/76/Show/Italy-Verona,4,6.6,11.8,16.3,13.5,7.9,1.6,14.2
Udinese,Serie A,37,12.1,38.8,77.3,https://www.whoscored.com/Teams/86/Show/Italy-Udinese,3.7,8.8,11,15.9,13.1,8.6,1.5,13.1
Bochum,Bundesliga,42,15.5,45.8,70.6,https://www.whoscored.com/Teams/109/Show/Germany-Bochum,4.5,5.5,12,17.7,15.7,9.1,2.4,13.1
Monza,Serie A,39,12,53.7,85.7,https://www.whoscored.com/Teams/269/Show/Italy-Monza,3.4,5.7,10.7,14.9,14.6,7.3,1.1,12.1
Metz,Ligue 1,35,9.8,34.8,75.8,https://www.whoscored.com/Teams/314/Show/France-Metz,3.4,8.5,11,16.5,15.2,10.2,1.3,12.3
Wolfsburg,Bundesliga,41,12.2,47.7,80.5,https://www.whoscored.com/Teams/33/Show/Germany-Wolfsburg,4.4,5.9,12.1,16.2,12.7,7.9,1.2,12.2
Osasuna,LaLiga,45,11.2,47.3,77.0,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,3.4,6.2,10.3,13.8,11.5,6.9,1.8,13.6
Getafe,LaLiga,42,11.9,44.4,72.6,https://www.whoscored.com/Teams/819/Show/Spain-Getafe,4.2,6.3,11.5,16,12,8.1,2.1,17.1
Las Palmas,LaLiga,33,10.3,59.7,85.4,https://www.whoscored.com/Teams/838/Show/Spain-Las-Palmas,3.3,8.3,13.1,17.4,11.6,7.4,2.4,10.8
Nantes,Ligue 1,30,11.2,44.4,81.6,https://www.whoscored.com/Teams/302/Show/France-Nantes,4,6.5,11,17.1,12.6,9.8,1.5,13.2
Lecce,Serie A,32,13.4,44.2,78.4,https://www.whoscored.com/Teams/79/Show/Italy-Lecce,4,7.9,12.7,15.9,13.6,8.1,1.5,13.3
FC Koln,Bundesliga,28,13.1,45.4,78.7,https://www.whoscored.com/Teams/282/Show/Germany-FC-Koln,4.4,7.2,10.7,18.1,14.9,9,1.6,12.3
Union Berlin,Bundesliga,33,12,42.2,76.5,https://www.whoscored.com/Teams/796/Show/Germany-Union-Berlin,4,6.4,10,16.1,14.2,9,1.8,11.8
Rayo Vallecano,LaLiga,29,13,49.4,78.2,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,4.4,7.4,13.6,16.6,11.7,8.1,2.5,14.8
Burnley,Premier League,41,11.4,46.9,79.5,https://www.whoscored.com/Teams/184/Show/England-Burnley,3.7,7.9,9.3,16,16.2,7.4,2,11.3
Clermont Foot,Ligue 1,26,11.5,48.8,81.8,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,3.8,7.4,12.6,17.1,15.9,10.2,1.5,11.6
Almeria,LaLiga,43,12.6,46.0,79.4,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,4.4,7.9,13,16.7,15.6,8.2,2,12.6
Frosinone,Serie A,44,12.4,49.4,79.8,https://www.whoscored.com/Teams/2732/Show/Italy-Frosinone,4.2,7.8,11.6,14.3,14.7,6.3,1.3,10.2
Empoli,Serie A,29,11,43.4,77.8,https://www.whoscored.com/Teams/272/Show/Italy-Empoli,3.1,5.9,13.5,16.3,14.8,6.9,2.2,13.8
Cadiz,LaLiga,26,10.5,42.7,74.3,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,3.2,6.1,13.1,17.7,13.4,7.8,2.4,15.2
Cagliari,Serie A,42,11.8,41.2,75.7,https://www.whoscored.com/Teams/78/Show/Italy-Cagliari,3.6,6.2,11,14.2,12.9,7,1.7,12.2
Sassuolo,Serie A,43,12.1,43.2,78.5,https://www.whoscored.com/Teams/2889/Show/Italy-Sassuolo,4,7.3,10.5,13.3,14.4,7,0.7,10.2
Granada,LaLiga,38,10.6,45.0,77.6,https://www.whoscored.com/Teams/925/Show/Spain-Granada,3.4,8,13.3,16.8,13,7.4,2,13.5
Sheffield United,Premier League,35,9.6,35.0,72.3,https://www.whoscored.com/Teams/163/Show/England-Sheffield-United,3.4,6.6,8.4,18.7,17.8,9.1,1.7,11.1
Darmstadt,Bundesliga,30,12,45.3,78.4,https://www.whoscored.com/Teams/1147/Show/Germany-Darmstadt,3.4,5.6,10.3,16.5,17,9.3,1.7,12.6
Salernitana,Serie A,32,10.5,44.0,78.4,https://www.whoscored.com/Teams/143/Show/Italy-Salernitana,3.2,5.6,12.4,14.1,15.8,7.3,1.6,11.8
